FIELD,ID,RA,DEC,r_petro,zb,zb_Min,zb_Max,PROB_GAL_new,SPIRAL,ELLIPTICAL,UNCERTAIN,simple_class
STRIPE82-0001,SPLUS.STRIPE82-0001.03217.griz,359.9707,-1.2178,16.5,0.1118,0.083,0.139,1.0,1,0,0,Ec
STRIPE82-0001,SPLUS.STRIPE82-0001.03462.griz,0.1286,-1.213,15.8,0.067,0.061,0.07200000000000001,1.0,0,0,1,SB
STRIPE82-0001,SPLUS.STRIPE82-0001.03521.griz,0.0559,-1.2136,16.34,0.08,0.07400000000000001,0.079,1.0,1,0,0,SB
STRIPE82-0001,SPLUS.STRIPE82-0001.03897.griz,0.2156,-1.1983,16.77,0.207,0.194,0.221,1.0,0,1,0,Er
STRIPE82-0001,SPLUS.STRIPE82-0001.04092.griz,0.1664,-1.1912,16.88,0.155,0.081,0.158,1.0,0,0,1,Ei
STRIPE82-0001,SPLUS.STRIPE82-0001.04209.griz,359.5937,-1.1828,16.72,0.058,0.047,0.063,1.0,0,0,1,Ei
STRIPE82-0001,SPLUS.STRIPE82-0001.04261.griz,359.7408,-1.1574,16.05,0.08199999999999999,0.076,0.085,1.0,1,0,0,Ec
STRIPE82-0001,SPLUS.STRIPE82-0001.04390.griz,0.2207,-1.1724,16.93,0.193,0.187,0.21600000000000005,1.0,0,0,1,Er
STRIPE82-0001,SPLUS.STRIPE82-0001.04450.griz,359.9227,-1.1673,16.26,0.075,0.071,0.08,1.0,0,0,1,Ei
STRIPE82-0001,SPLUS.STRIPE82-0001.04690.griz,359.6376,-1.1449,15.88,0.064,0.058,0.067,1.0,0,0,1,Er
STRIPE82-0001,SPLUS.STRIPE82-0001.04801.griz,359.3643,-1.1314,14.72,0.028,0.026,0.031,0.99,0,0,1,Ei
STRIPE82-0001,SPLUS.STRIPE82-0001.05080.griz,359.6428,-1.1289,15.66,0.07,0.065,0.073,1.0,0,0,1,Ei
STRIPE82-0001,SPLUS.STRIPE82-0001.05263.griz,359.7357,-1.1286,16.93,0.069,0.037000000000000005,0.113,1.0,1,0,0,Ec
STRIPE82-0001,SPLUS.STRIPE82-0001.05556.griz,0.2229,-1.1152,16.11,0.09,0.085,0.095,1.0,0,0,1,Er
STRIPE82-0001,SPLUS.STRIPE82-0001.06100.griz,359.5175,-1.0691,16.16,0.08900000000000001,0.08,0.093,1.0,0,0,1,Ei
STRIPE82-0001,SPLUS.STRIPE82-0001.06137.griz,0.5112,-1.0858,16.52,0.115,0.073,0.195,1.0,1,0,0,Ei
STRIPE82-0001,SPLUS.STRIPE82-0001.06710.griz,359.4851,-1.0581,16.26,0.112,0.105,0.128,1.0,0,0,1,Ei
STRIPE82-0001,SPLUS.STRIPE82-0001.07274.griz,359.541,-1.0318,16.65,0.058,0.042,0.061,1.0,0,0,1,Ei
STRIPE82-0001,SPLUS.STRIPE82-0001.08015.griz,0.6892,-0.9934,16.53,0.087,0.083,0.125,1.0,1,0,0,S
STRIPE82-0001,SPLUS.STRIPE82-0001.08226.griz,359.5261,-0.9873,16.36,0.037000000000000005,0.033,0.067,1.0,1,0,0,Ec
STRIPE82-0001,SPLUS.STRIPE82-0001.08662.griz,359.6077,-0.9655,15.67,0.067,0.062,0.07,1.0,1,0,0,Ec
STRIPE82-0001,SPLUS.STRIPE82-0001.09418.griz,359.6946,-0.9269,16.25,0.034,0.032,0.038,1.0,0,0,1,Ei
STRIPE82-0001,SPLUS.STRIPE82-0001.09777.griz,0.5156,-0.907,16.58,0.135,0.122,0.14,1.0,1,0,0,Ec
STRIPE82-0001,SPLUS.STRIPE82-0001.10167.griz,359.5367,-0.8867,16.51,0.11,0.103,0.119,0.99,0,0,1,Ei
STRIPE82-0001,SPLUS.STRIPE82-0001.10635.griz,0.3489,-0.8519,16.1,0.08199999999999999,0.078,0.085,1.0,0,0,1,Ec
STRIPE82-0001,SPLUS.STRIPE82-0001.11896.griz,359.3537,-0.7949,16.95,0.091,0.077,0.104,1.0,1,0,0,Ec
STRIPE82-0001,SPLUS.STRIPE82-0001.12213.griz,359.5203,-0.7813,16.42,0.037000000000000005,0.033,0.04,1.0,0,0,1,Ec
STRIPE82-0001,SPLUS.STRIPE82-0001.12430.griz,0.6231,-0.7595,16.68,0.075,0.033,0.081,1.0,1,0,0,Ec
STRIPE82-0001,SPLUS.STRIPE82-0001.12998.griz,359.3378,-0.7371,16.35,0.071,0.068,0.09,1.0,1,0,0,Ei
STRIPE82-0001,SPLUS.STRIPE82-0001.13092.griz,0.5523,0.0047,16.93,0.118,0.094,0.12,1.0,0,0,1,Ei
STRIPE82-0001,SPLUS.STRIPE82-0001.13351.griz,0.1638,-0.0134,15.97,0.081,0.077,0.083,1.0,1,0,0,Ec
STRIPE82-0001,SPLUS.STRIPE82-0001.13589.griz,0.3597,-0.0286,16.76,0.227,0.19,0.241,1.0,0,1,0,Er
STRIPE82-0001,SPLUS.STRIPE82-0001.13791.griz,0.0326,-0.0405,14.73,0.07,0.068,0.071,1.0,0,0,1,S
STRIPE82-0001,SPLUS.STRIPE82-0001.13972.griz,0.5152,-0.5603,16.73,0.117,0.11,0.125,1.0,0,0,1,Er
STRIPE82-0001,SPLUS.STRIPE82-0001.14080.griz,0.4538,-0.6015,16.97,0.09,0.084,0.113,1.0,1,0,0,Ec
STRIPE82-0001,SPLUS.STRIPE82-0001.14364.griz,359.3967,-0.727,16.98,0.071,0.065,0.075,1.0,0,0,1,Er
STRIPE82-0001,SPLUS.STRIPE82-0001.14771.griz,0.4217,-0.0492,16.87,0.071,0.069,0.07400000000000001,1.0,1,0,0,Ei
STRIPE82-0001,SPLUS.STRIPE82-0001.15198.griz,359.9522,-0.0738,16.42,0.034,0.029,0.038,1.0,0,0,1,Ei
STRIPE82-0001,SPLUS.STRIPE82-0001.15514.griz,0.0065,-0.0925,16.72,0.077,0.073,0.087,1.0,0,0,1,Ei
STRIPE82-0001,SPLUS.STRIPE82-0001.15853.griz,359.3915,-0.1094,16.67,0.077,0.071,0.085,1.0,1,0,0,S
STRIPE82-0001,SPLUS.STRIPE82-0001.16384.griz,359.7202,-0.1351,16.89,0.099,0.096,0.104,0.99,0,0,1,Er
STRIPE82-0001,SPLUS.STRIPE82-0001.17035.griz,359.4337,-0.1749,14.84,0.067,0.064,0.07,1.0,0,0,1,Ei
STRIPE82-0001,SPLUS.STRIPE82-0001.17570.griz,0.3598,-0.2091,15.75,0.102,0.098,0.107,1.0,0,1,0,Er
STRIPE82-0001,SPLUS.STRIPE82-0001.18013.griz,0.335,-0.2234,16.98,0.159,0.149,0.16399999999999998,1.0,0,0,1,Ec
STRIPE82-0001,SPLUS.STRIPE82-0001.18039.griz,0.3687,-0.2244,16.0,0.096,0.091,0.103,1.0,1,0,0,S
STRIPE82-0001,SPLUS.STRIPE82-0001.18456.griz,0.376,-0.2462,16.6,0.099,0.076,0.1,1.0,1,0,0,Ei
STRIPE82-0001,SPLUS.STRIPE82-0001.19792.griz,359.8202,-0.3152,16.91,0.123,0.092,0.124,1.0,0,0,1,Er
STRIPE82-0001,SPLUS.STRIPE82-0001.19852.griz,0.5532,-0.3025,16.4,0.108,0.101,0.117,1.0,1,0,0,Ei
STRIPE82-0001,SPLUS.STRIPE82-0001.20431.griz,0.5039,-0.3431,16.51,0.07200000000000001,0.067,0.078,1.0,1,0,0,SB
STRIPE82-0001,SPLUS.STRIPE82-0001.21388.griz,0.3989,-0.3951,15.73,0.069,0.067,0.079,1.0,1,0,0,S
STRIPE82-0001,SPLUS.STRIPE82-0001.21761.griz,359.6001,-0.4218,16.82,0.107,0.099,0.112,1.0,0,1,0,Er
STRIPE82-0001,SPLUS.STRIPE82-0001.21867.griz,359.7032,-0.4125,16.86,0.105,0.098,0.112,1.0,1,0,0,Er
STRIPE82-0001,SPLUS.STRIPE82-0001.22060.griz,359.6893,-0.4239,16.83,0.085,0.081,0.08800000000000001,1.0,0,0,1,Er
STRIPE82-0001,SPLUS.STRIPE82-0001.22642.griz,0.1166,-0.4482,16.66,0.077,0.07200000000000001,0.081,1.0,0,0,1,Ei
STRIPE82-0001,SPLUS.STRIPE82-0001.23560.griz,0.377,-0.5083,16.91,0.08900000000000001,0.076,0.099,1.0,0,0,1,Er
STRIPE82-0001,SPLUS.STRIPE82-0001.23755.griz,0.6859999999999999,-0.5099,16.92,0.2393,0.195,0.26,0.99,0,0,1,Er
STRIPE82-0001,SPLUS.STRIPE82-0001.23982.griz,359.8123,-0.5074,15.51,0.087,0.079,0.097,0.99,0,0,1,Er
STRIPE82-0001,SPLUS.STRIPE82-0001.25219.griz,359.6235,-0.5815,16.88,0.104,0.095,0.126,1.0,0,0,1,Er
STRIPE82-0001,SPLUS.STRIPE82-0001.26566.griz,0.462,-0.6537,15.42,0.086,0.068,0.087,1.0,0,0,1,S
STRIPE82-0001,SPLUS.STRIPE82-0001.27137.griz,0.6447,-0.6823,15.7,0.08800000000000001,0.084,0.091,1.0,0,0,1,Ei
STRIPE82-0001,SPLUS.STRIPE82-0001.27368.griz,359.3115,-0.6434,15.06,0.058,0.051,0.064,1.0,1,0,0,Ei
STRIPE82-0002,SPLUS.STRIPE82-0002.01936.griz,0.2617,0.07,16.97,0.103,0.095,0.109,1.0,0,0,1,Ei
STRIPE82-0002,SPLUS.STRIPE82-0002.02035.griz,0.193,0.0653,16.07,0.1,0.096,0.105,1.0,0,0,1,Er
STRIPE82-0002,SPLUS.STRIPE82-0002.03514.griz,359.4811,0.1356,16.56,0.094,0.09,0.112,1.0,0,0,1,SB
STRIPE82-0002,SPLUS.STRIPE82-0002.03589.griz,0.6168,0.1396,16.49,0.093,0.08900000000000001,0.126,1.0,1,0,0,S
STRIPE82-0002,SPLUS.STRIPE82-0002.04693.griz,359.7435,0.1708,16.2,0.026,0.023,0.027000000000000003,1.0,0,0,1,Ei
STRIPE82-0002,SPLUS.STRIPE82-0002.05409.griz,0.0873,0.2151,16.6,0.079,0.07400000000000001,0.087,1.0,1,0,0,Er
STRIPE82-0002,SPLUS.STRIPE82-0002.06705.griz,359.8061,0.2341,16.28,0.1187,0.054000000000000006,0.16,1.0,1,0,0,Se
STRIPE82-0002,SPLUS.STRIPE82-0002.07138.griz,0.3942,0.2744,15.35,0.053,0.047,0.057,0.95,0,1,0,Er
STRIPE82-0002,SPLUS.STRIPE82-0002.07293.griz,359.7307,0.2926,16.96,0.111,0.1,0.119,1.0,0,0,1,Er
STRIPE82-0002,SPLUS.STRIPE82-0002.08457.griz,359.9694,0.3333,16.48,0.083,0.077,0.08800000000000001,1.0,1,0,0,Ei
STRIPE82-0002,SPLUS.STRIPE82-0002.08624.griz,359.8824,0.3387,16.62,0.08,0.07400000000000001,0.085,1.0,0,0,1,Ei
STRIPE82-0002,SPLUS.STRIPE82-0002.10075.griz,359.7955,0.3983,16.71,0.085,0.08199999999999999,0.116,1.0,0,0,1,Er
STRIPE82-0002,SPLUS.STRIPE82-0002.10584.griz,0.6508,0.4212,16.37,0.093,0.08800000000000001,0.104,1.0,0,0,1,Ei
STRIPE82-0002,SPLUS.STRIPE82-0002.10837.griz,359.3406,0.435,16.63,0.107,0.095,0.111,1.0,0,0,1,Ei
STRIPE82-0002,SPLUS.STRIPE82-0002.10862.griz,0.5684,0.4347,16.49,0.086,0.08,0.091,1.0,0,0,1,Ei
STRIPE82-0002,SPLUS.STRIPE82-0002.12169.griz,0.7036,0.4762,16.1,0.056,0.054000000000000006,0.067,1.0,0,1,0,Ei
STRIPE82-0002,SPLUS.STRIPE82-0002.12222.griz,359.8396,0.4587,15.23,0.064,0.059,0.076,1.0,0,0,1,Ei
STRIPE82-0002,SPLUS.STRIPE82-0002.12235.griz,359.6165,0.4891,16.43,0.07200000000000001,0.07,0.08,1.0,1,0,0,Er
STRIPE82-0002,SPLUS.STRIPE82-0002.12318.griz,0.6515,0.4958,16.94,0.08800000000000001,0.085,0.115,1.0,0,0,1,Ei
STRIPE82-0002,SPLUS.STRIPE82-0002.12730.griz,359.73,0.5048,16.17,0.106,0.096,0.111,1.0,0,1,0,Er
STRIPE82-0002,SPLUS.STRIPE82-0002.13747.griz,0.4809,0.5463,16.64,0.028,0.022,0.041,1.0,0,0,1,S
STRIPE82-0002,SPLUS.STRIPE82-0002.14076.griz,359.9407,0.5612,16.64,0.073,0.07200000000000001,0.102,1.0,0,0,1,Er
STRIPE82-0002,SPLUS.STRIPE82-0002.14161.griz,359.9739,0.5562,15.49,0.068,0.061,0.076,1.0,1,0,0,S
STRIPE82-0002,SPLUS.STRIPE82-0002.14560.griz,0.6795,0.5721,16.12,0.081,0.078,0.084,1.0,0,1,0,Ei
STRIPE82-0002,SPLUS.STRIPE82-0002.14565.griz,359.6384,0.5816,16.79,0.076,0.075,0.098,1.0,0,0,1,Ei
STRIPE82-0002,SPLUS.STRIPE82-0002.14682.griz,0.4566,0.5670000000000001,15.12,0.065,0.057,0.07,1.0,0,1,0,Er
STRIPE82-0002,SPLUS.STRIPE82-0002.15039.griz,359.5942,0.596,16.65,0.071,0.07,0.1,1.0,1,0,0,S
STRIPE82-0002,SPLUS.STRIPE82-0002.15179.griz,0.1096,0.5975,16.77,0.103,0.094,0.107,1.0,0,0,1,Ei
STRIPE82-0002,SPLUS.STRIPE82-0002.15375.griz,359.4508,0.6142,16.79,0.129,0.09,0.132,1.0,0,0,1,Ei
STRIPE82-0002,SPLUS.STRIPE82-0002.15847.griz,0.0421,0.6343,16.84,0.057,0.049,0.065,1.0,0,0,1,Ei
STRIPE82-0002,SPLUS.STRIPE82-0002.16038.griz,0.515,0.6319,15.75,0.087,0.08199999999999999,0.091,1.0,0,1,0,Ei
STRIPE82-0002,SPLUS.STRIPE82-0002.16265.griz,359.922,0.6371,15.62,0.08199999999999999,0.078,0.086,1.0,0,1,0,Er
STRIPE82-0002,SPLUS.STRIPE82-0002.16544.griz,0.5931,0.6611,16.98,0.092,0.08900000000000001,0.14,1.0,0,0,1,Er
STRIPE82-0002,SPLUS.STRIPE82-0002.16546.griz,0.3771,0.6584,16.46,0.084,0.07400000000000001,0.09,1.0,1,0,0,SB
STRIPE82-0002,SPLUS.STRIPE82-0002.16807.griz,359.9672,0.6716,16.9,0.085,0.078,0.092,1.0,1,0,0,Ei
STRIPE82-0002,SPLUS.STRIPE82-0002.16968.griz,359.9848,0.6751,15.95,0.08199999999999999,0.076,0.085,1.0,0,0,1,Ei
STRIPE82-0002,SPLUS.STRIPE82-0002.16998.griz,359.6151,0.6695,16.25,0.071,0.064,0.077,1.0,1,0,0,S
STRIPE82-0002,SPLUS.STRIPE82-0002.17033.griz,0.0615,0.6746,16.67,0.129,0.048,0.13699999999999998,1.0,0,0,1,Er
STRIPE82-0002,SPLUS.STRIPE82-0002.17118.griz,359.4322,0.6552,14.55,0.03,0.026,0.033,1.0,1,0,0,Se
STRIPE82-0002,SPLUS.STRIPE82-0002.17212.griz,0.1839,0.6731,15.37,0.04,0.034,0.046,1.0,0,1,0,Er
STRIPE82-0002,SPLUS.STRIPE82-0002.17282.griz,359.5093,0.6909,16.69,0.067,0.059,0.07400000000000001,1.0,1,0,0,Ei
STRIPE82-0002,SPLUS.STRIPE82-0002.17340.griz,359.6259,0.6812,16.03,0.08800000000000001,0.07,0.107,1.0,0,0,1,Ei
STRIPE82-0002,SPLUS.STRIPE82-0002.17876.griz,359.9292,0.7076,16.61,0.084,0.078,0.08800000000000001,1.0,0,0,1,Ei
STRIPE82-0002,SPLUS.STRIPE82-0002.18012.griz,359.5751,0.7015,16.09,0.127,0.118,0.133,1.0,1,0,0,Ei
STRIPE82-0002,SPLUS.STRIPE82-0002.18076.griz,359.4212,0.6933,15.67,0.076,0.068,0.08,1.0,1,0,0,S
STRIPE82-0002,SPLUS.STRIPE82-0002.18192.griz,359.9888,0.7151,16.63,0.09,0.084,0.102,1.0,0,0,1,Ei
STRIPE82-0002,SPLUS.STRIPE82-0002.18308.griz,359.6053,0.7243,16.77,0.066,0.06,0.07200000000000001,0.99,0,0,1,Ei
STRIPE82-0002,SPLUS.STRIPE82-0002.18569.griz,0.3514,0.7304,16.76,0.085,0.067,0.08800000000000001,1.0,0,0,1,Ei
STRIPE82-0002,SPLUS.STRIPE82-0002.18622.griz,359.8582,0.7214,15.46,0.083,0.077,0.086,1.0,0,1,0,Er
STRIPE82-0002,SPLUS.STRIPE82-0002.19139.griz,0.4434,0.7505,16.42,0.08800000000000001,0.07400000000000001,0.117,1.0,0,0,1,Ei
STRIPE82-0002,SPLUS.STRIPE82-0002.19462.griz,359.7711,0.7583,16.75,0.071,0.066,0.108,1.0,0,0,1,Ei
STRIPE82-0002,SPLUS.STRIPE82-0002.19500.griz,359.6126,0.7602,16.59,0.062,0.042,0.069,1.0,0,0,1,Er
STRIPE82-0002,SPLUS.STRIPE82-0002.19613.griz,0.2355,0.7628,16.32,0.101,0.096,0.108,1.0,0,0,1,Er
STRIPE82-0002,SPLUS.STRIPE82-0002.19962.griz,359.6687,0.7809999999999999,16.47,0.065,0.062,0.117,0.99,0,0,1,Er
STRIPE82-0002,SPLUS.STRIPE82-0002.20101.griz,359.5318,0.784,16.0,0.05,0.046,0.053,1.0,0,0,1,Ei
STRIPE82-0002,SPLUS.STRIPE82-0002.20371.griz,0.0197,0.7817,15.56,0.083,0.076,0.086,1.0,0,0,1,Ei
STRIPE82-0002,SPLUS.STRIPE82-0002.20451.griz,359.4993,0.7691,14.86,0.066,0.06,0.07200000000000001,1.0,0,1,0,Er
STRIPE82-0002,SPLUS.STRIPE82-0002.20738.griz,359.8717,0.8045,16.04,0.078,0.07200000000000001,0.083,1.0,0,0,1,Ei
STRIPE82-0002,SPLUS.STRIPE82-0002.21029.griz,359.4524,0.7956,14.4,0.059,0.056,0.061,1.0,0,1,0,Er
STRIPE82-0002,SPLUS.STRIPE82-0002.21085.griz,359.7679,0.8141,16.95,0.038,0.033,0.062,1.0,0,0,1,Ei
STRIPE82-0002,SPLUS.STRIPE82-0002.21796.griz,0.4868,1.1569,16.99,0.111,0.091,0.123,1.0,0,0,1,Ei
STRIPE82-0002,SPLUS.STRIPE82-0002.22121.griz,359.9512,1.1488,16.29,0.101,0.098,0.107,1.0,1,0,0,Ei
STRIPE82-0002,SPLUS.STRIPE82-0002.22724.griz,0.0533,1.1203,13.98,0.029,0.027000000000000003,0.03,0.99,1,0,0,S
STRIPE82-0002,SPLUS.STRIPE82-0002.23457.griz,0.4175,1.092,15.64,0.073,0.07,0.077,1.0,1,0,0,Se
STRIPE82-0002,SPLUS.STRIPE82-0002.24766.griz,0.3747,1.0479,16.25,0.05,0.045,0.055,1.0,0,0,1,Ei
STRIPE82-0002,SPLUS.STRIPE82-0002.25155.griz,0.4597,1.032,14.81,0.085,0.081,0.087,1.0,0,0,1,Ei
STRIPE82-0002,SPLUS.STRIPE82-0002.25646.griz,0.4219,1.0172,16.97,0.087,0.07400000000000001,0.102,1.0,1,0,0,Ei
STRIPE82-0002,SPLUS.STRIPE82-0002.26854.griz,359.8425,0.9962,16.13,0.114,0.098,0.118,1.0,0,1,0,Er
STRIPE82-0002,SPLUS.STRIPE82-0002.27512.griz,0.6652,0.9428,15.39,0.061,0.056,0.087,1.0,1,0,0,S
STRIPE82-0002,SPLUS.STRIPE82-0002.28866.griz,359.7107,0.8943,16.94,0.095,0.086,0.107,1.0,0,0,1,Ec
STRIPE82-0002,SPLUS.STRIPE82-0002.29115.griz,359.673,0.895,16.42,0.0879,0.068,0.109,1.0,1,0,0,S
STRIPE82-0002,SPLUS.STRIPE82-0002.29129.griz,359.344,0.885,16.76,0.057,0.042,0.061,1.0,0,0,1,Er
STRIPE82-0002,SPLUS.STRIPE82-0002.29276.griz,359.8548,0.9102,16.52,0.087,0.08199999999999999,0.09,1.0,0,0,1,Er
STRIPE82-0002,SPLUS.STRIPE82-0002.29301.griz,0.2148,0.89,16.49,0.099,0.092,0.107,1.0,0,1,0,Er
STRIPE82-0002,SPLUS.STRIPE82-0002.29827.griz,0.0296,0.8579,16.6,0.081,0.076,0.085,1.0,0,0,1,Ei
STRIPE82-0002,SPLUS.STRIPE82-0002.29858.griz,359.8528,0.8541,15.32,0.048,0.044,0.051,1.0,1,0,0,S
STRIPE82-0002,SPLUS.STRIPE82-0002.29860.griz,0.1448,0.8574,16.89,0.104,0.098,0.109,1.0,1,0,0,Ei
STRIPE82-0002,SPLUS.STRIPE82-0002.30159.griz,359.7251,0.8457,16.24,0.066,0.06,0.069,0.99,1,0,0,Se
STRIPE82-0002,SPLUS.STRIPE82-0002.34196.griz,359.3280000000001,1.2555,16.96,0.096,0.091,0.107,1.0,0,0,1,Ei
STRIPE82-0002,SPLUS.STRIPE82-0002.34751.griz,359.3732,1.2396,15.65,0.08,0.061,0.084,1.0,1,0,0,S
STRIPE82-0002,SPLUS.STRIPE82-0002.35993.griz,0.2677,1.1828,16.45,0.104,0.096,0.121,1.0,0,0,1,Er
STRIPE82-0002,SPLUS.STRIPE82-0002.36413.griz,359.7965,1.1687,16.82,0.105,0.096,0.112,1.0,0,0,1,Er
STRIPE82-0003,SPLUS.STRIPE82-0003.03624.griz,1.6225,-1.2038,16.75,0.094,0.08900000000000001,0.103,1.0,0,0,1,Er
STRIPE82-0003,SPLUS.STRIPE82-0003.04026.griz,1.6092,-1.1863,16.42,0.099,0.095,0.12,1.0,0,0,1,Er
STRIPE82-0003,SPLUS.STRIPE82-0003.04206.griz,0.8151,-0.9966,11.38,0.7388,0.467,0.925,1.0,0,0,1,S
STRIPE82-0003,SPLUS.STRIPE82-0003.04521.griz,1.0758,-1.1614,15.85,0.071,0.057,0.07400000000000001,1.0,1,0,0,Ec
STRIPE82-0003,SPLUS.STRIPE82-0003.04553.griz,1.7395,-1.1577,16.76,0.1033,0.084,0.118,1.0,0,0,1,Er
STRIPE82-0003,SPLUS.STRIPE82-0003.04773.griz,1.5598,-1.1464,16.55,0.166,0.155,0.16899999999999998,0.99,0,0,1,Er
STRIPE82-0003,SPLUS.STRIPE82-0003.05235.griz,1.13,-1.1273,16.97,0.16699999999999998,0.155,0.17600000000000002,1.0,0,0,1,Ei
STRIPE82-0003,SPLUS.STRIPE82-0003.05544.griz,1.229,-1.1108,16.88,0.154,0.146,0.16,1.0,0,0,1,Er
STRIPE82-0003,SPLUS.STRIPE82-0003.07866.griz,1.2927,-1.0056,16.96,0.08800000000000001,0.081,0.094,1.0,0,0,1,Ei
STRIPE82-0003,SPLUS.STRIPE82-0003.09397.griz,1.82,-0.933,15.92,0.101,0.097,0.106,1.0,0,0,1,S
STRIPE82-0003,SPLUS.STRIPE82-0003.09475.griz,1.3995,-0.9223,16.21,0.093,0.084,0.103,1.0,1,0,0,S
STRIPE82-0003,SPLUS.STRIPE82-0003.10890.griz,1.8546,-0.8628,16.13,0.087,0.08,0.091,1.0,1,0,0,S
STRIPE82-0003,SPLUS.STRIPE82-0003.10954.griz,1.916,-0.8574,16.9,0.081,0.073,0.123,1.0,0,0,1,Er
STRIPE82-0003,SPLUS.STRIPE82-0003.11012.griz,1.6576,-0.8536,16.92,0.13,0.119,0.145,1.0,1,0,0,Ec
STRIPE82-0003,SPLUS.STRIPE82-0003.11760.griz,1.6202,-0.7841,14.86,0.062,0.059,0.064,1.0,1,0,0,Se
STRIPE82-0003,SPLUS.STRIPE82-0003.12106.griz,0.7357,-0.7927,16.63,0.13699999999999998,0.118,0.14,1.0,0,0,1,Ei
STRIPE82-0003,SPLUS.STRIPE82-0003.12283.griz,1.9791,-0.8013,16.39,0.075,0.066,0.078,1.0,0,0,1,Ei
STRIPE82-0003,SPLUS.STRIPE82-0003.12587.griz,2.0301,-0.7797,15.62,0.059,0.053,0.063,1.0,1,0,0,S
STRIPE82-0003,SPLUS.STRIPE82-0003.12590.griz,1.9203,-0.7877,16.87,0.0793,0.046,0.125,1.0,0,0,1,Ei
STRIPE82-0003,SPLUS.STRIPE82-0003.12667.griz,1.318,-0.7844,16.95,0.09,0.086,0.115,1.0,1,0,0,S
STRIPE82-0003,SPLUS.STRIPE82-0003.13351.griz,1.8569,-0.7521,16.11,0.077,0.07,0.081,1.0,0,1,0,Ei
STRIPE82-0003,SPLUS.STRIPE82-0003.13451.griz,2.0192,-0.7513,16.61,0.07,0.06,0.075,1.0,0,0,1,Ei
STRIPE82-0003,SPLUS.STRIPE82-0003.13712.griz,1.5163,-0.7269,15.28,0.063,0.06,0.079,1.0,1,0,0,S
STRIPE82-0003,SPLUS.STRIPE82-0003.14625.griz,1.8613,-0.706,15.65,0.08900000000000001,0.085,0.092,1.0,1,0,0,SB
STRIPE82-0003,SPLUS.STRIPE82-0003.15086.griz,1.5730000000000002,-0.6821,16.28,0.085,0.081,0.09,1.0,0,0,1,Ec
STRIPE82-0003,SPLUS.STRIPE82-0003.15303.griz,1.9217,-0.6957,16.08,0.061,0.056,0.065,1.0,1,0,0,S
STRIPE82-0003,SPLUS.STRIPE82-0003.15429.griz,1.9615,-0.6749,16.33,0.098,0.08900000000000001,0.107,1.0,0,0,1,Er
STRIPE82-0003,SPLUS.STRIPE82-0003.16337.griz,1.2029,-0.0287,16.86,0.086,0.083,0.13699999999999998,1.0,1,0,0,SB
STRIPE82-0003,SPLUS.STRIPE82-0003.16852.griz,0.992,-0.0456,16.64,0.086,0.079,0.095,1.0,1,0,0,S
STRIPE82-0003,SPLUS.STRIPE82-0003.16924.griz,0.812,-0.0382,15.89,0.118,0.09,0.124,1.0,1,0,0,Ec
STRIPE82-0003,SPLUS.STRIPE82-0003.16989.griz,1.6416,-0.0561,16.44,0.041,0.031,0.063,1.0,0,0,1,Er
STRIPE82-0003,SPLUS.STRIPE82-0003.17255.griz,0.9459,-0.064,16.95,0.053,0.048,0.062,1.0,1,0,0,Se
STRIPE82-0003,SPLUS.STRIPE82-0003.17882.griz,1.3308,-0.0902,16.96,0.13699999999999998,0.109,0.146,1.0,1,0,0,S
STRIPE82-0003,SPLUS.STRIPE82-0003.18982.griz,1.3002,-0.1507,16.56,0.121,0.098,0.127,1.0,0,1,0,Ei
STRIPE82-0003,SPLUS.STRIPE82-0003.20767.griz,1.025,-0.2258,16.01,0.08900000000000001,0.08199999999999999,0.093,1.0,1,0,0,SB
STRIPE82-0003,SPLUS.STRIPE82-0003.20874.griz,1.9011,-0.2319,15.25,0.078,0.07400000000000001,0.08,1.0,0,1,0,Ei
STRIPE82-0003,SPLUS.STRIPE82-0003.20995.griz,1.9796,-0.228,15.02,0.138,0.126,0.141,1.0,0,1,0,Ei
STRIPE82-0003,SPLUS.STRIPE82-0003.21549.griz,1.9409,-0.264,16.64,0.117,0.099,0.122,1.0,1,0,0,Ei
STRIPE82-0003,SPLUS.STRIPE82-0003.21666.griz,1.6675,-0.2733,16.67,0.113,0.092,0.125,1.0,0,0,1,Er
STRIPE82-0003,SPLUS.STRIPE82-0003.21909.griz,0.9169,-0.2803,16.44,0.067,0.065,0.068,1.0,0,0,1,Ei
STRIPE82-0003,SPLUS.STRIPE82-0003.22422.griz,2.0286,-0.3076,16.77,0.129,0.045,0.132,1.0,1,0,0,Ei
STRIPE82-0003,SPLUS.STRIPE82-0003.22576.griz,0.7561,-0.3172,16.43,0.113,0.108,0.131,0.99,1,0,0,Se
STRIPE82-0003,SPLUS.STRIPE82-0003.23040.griz,1.6881,-0.3383,16.07,0.081,0.077,0.084,1.0,0,1,0,Er
STRIPE82-0003,SPLUS.STRIPE82-0003.23418.griz,1.486,-0.398,15.6,0.112,0.107,0.121,1.0,0,1,0,Er
STRIPE82-0003,SPLUS.STRIPE82-0003.23498.griz,1.283,-0.5238,7.86,0.023,0.019,0.025,1.0,0,0,1,Er
STRIPE82-0003,SPLUS.STRIPE82-0003.23656.griz,1.8151,-0.3593,16.95,0.184,0.179,0.213,0.98,0,1,0,Er
