_hipscat_index,FIELD_,ID_,RA_,DEC_,r_petro_,zb_,zb_Min_,zb_Max_,PROB_GAL_new_,SPIRAL_,ELLIPTICAL_,UNCERTAIN_,simple_class_,Norder_,Dir_,Npix_,ID_dual,RA_dual,DEC_dual,r_auto_dual,g_auto_dual,i_auto_dual,z_auto_dual,u_auto_dual,J0378_auto_dual,J0395_auto_dual,J0410_auto_dual,J0430_auto_dual,J0515_auto_dual,J0660_auto_dual,J0861_auto_dual,e_r_auto_dual,e_g_auto_dual,e_i_auto_dual,e_z_auto_dual,e_u_auto_dual,e_J0378_auto_dual,e_J0395_auto_dual,e_J0410_auto_dual,e_J0430_auto_dual,e_J0515_auto_dual,e_J0660_auto_dual,e_J0861_auto_dual,_dist_arcsec
5072406315356127232,STRIPE82-0023,SPLUS.STRIPE82-0023.23718.griz,15.3882,-0.3711,16.9,0.183,0.182,0.203,1.0,0,0,1,Er,0,0,4,DR4_3_STRIPE82-0023_0037740,15.388109404574605,-0.3710453809221717,17.085503,17.646606,16.715727,16.617981,18.64504,18.259296,18.672485,18.375725,18.847141,17.449877,17.015009,16.69373,0.01498561,0.020782035,0.014891383,0.025177967,0.10553871,0.10222213,0.23523837,0.14721107,0.20979363,0.053524606,0.018308107,0.03751405,0.38082539229660894
5072760996511088640,STRIPE82-0023,SPLUS.STRIPE82-0023.23734.griz,14.9842,-0.374,16.33,0.161,0.154,0.1689999999999999,1.0,0,1,0,Er,0,0,4,DR4_3_STRIPE82-0023_0041142,14.984265964509428,-0.37401579133524443,16.51369,17.606041,16.025692,15.688774,19.693827,19.045494,19.65833,19.13181,18.846869,17.244839,16.354704,15.845861,0.012127986,0.026848232,0.011148713,0.015013376,0.30176458,0.278935,0.7839986,0.40528896,0.28719652,0.0603852,0.013617332,0.024170596,0.2441770788533561
5072385577676963840,STRIPE82-0023,SPLUS.STRIPE82-0023.24255.griz,15.0258,-0.3952,16.94,0.165,0.128,0.175,1.0,0,0,1,Ei,0,0,4,DR4_3_STRIPE82-0023_0042964,15.025775369454971,-0.3952148266903228,17.106556,17.986982,16.632166,16.40609,20.39186,19.378338,18.413504,19.98221,18.698101,17.673023,16.951763,16.484495,0.018097267,0.03327215,0.016842378,0.025304964,0.50243664,0.33178854,0.21799941,0.7735481,0.21915133,0.07820922,0.020430472,0.037921812,0.1034939349777711
5072387001320210432,STRIPE82-0023,SPLUS.STRIPE82-0023.24623.griz,15.1647,-0.392,15.91,0.057,0.054,0.066,1.0,0,0,1,Ei,0,0,4,DR4_3_STRIPE82-0023_0044020,15.16466420963482,-0.39203153385556433,16.0999,16.902376,15.686382,15.428143,18.776337,18.3389,17.862768,18.075993,17.267076,16.604874,15.991971,15.465908,0.007176445,0.012128764,0.0068911933,0.009855018,0.108519845,0.12156908,0.12427452,0.12593843,0.055828914,0.028162632,0.008427782,0.014238101,0.17171940842120403
5072472578719744000,STRIPE82-0023,SPLUS.STRIPE82-0023.24809.griz,16.0293,-0.4218,14.94,0.059,0.046,0.06,1.0,0,1,0,Ei,0,0,4,DR4_3_STRIPE82-0023_0043894,16.02925864642351,-0.42180977811588727,15.158938,16.001175,14.738115,14.450736,17.615862,17.376583,17.076473,17.134674,16.539753,15.652869,15.068508,14.499799,0.0042597773,0.007344195,0.003955248,0.005520098,0.0524037,0.07029348,0.0845132,0.07274179,0.038997605,0.016155327,0.00503929,0.008065956,0.15297404208399346
5072426095731539968,STRIPE82-0023,SPLUS.STRIPE82-0023.24945.griz,15.2546,-0.4123,15.58,0.097,0.093,0.105,1.0,0,1,0,Ei,0,0,4,DR4_3_STRIPE82-0023_0043698,15.254634280097626,-0.41230613403217026,15.751502,16.649105,15.289359,15.010056,18.644707,18.269793,18.353596,18.027727,17.547024,16.20284,15.589343,15.097606,0.0073899277,0.013717589,0.00679864,0.009666641,0.141707,0.16839506,0.2881089,0.17641394,0.10512265,0.028303681,0.0083217155,0.014576001,0.12536534644964767
5072748313241976832,STRIPE82-0023,SPLUS.STRIPE82-0023.25325.griz,14.8791,-0.4368,15.54,0.081,0.072,0.085,1.0,0,0,1,Ei,0,0,4,DR4_3_STRIPE82-0023_0044100,14.879058748455314,-0.4367930063641635,15.697008,16.575073,15.273768,15.021338,18.850815,18.198776,18.308464,18.264502,17.14163,16.196686,15.580734,15.0853615,0.0081245145,0.014850426,0.007921424,0.011369833,0.1967027,0.18311723,0.3259785,0.26026902,0.08488414,0.032666497,0.009504055,0.016876373,0.15062040268617397
5072397934939602944,STRIPE82-0023,SPLUS.STRIPE82-0023.25358.griz,15.5565,-0.4373,15.7,0.07,0.064,0.075,1.0,1,0,0,S,0,0,4,DR4_3_STRIPE82-0023_0044812,15.556522658433167,-0.437260873427633,15.861387,16.655968,15.396214,15.162049,17.844511,17.3788,17.537159,17.383577,16.942198,16.32876,15.749416,15.190298,0.009105942,0.015557146,0.008284605,0.012451906,0.08015174,0.08713618,0.15902288,0.111411594,0.06862602,0.03581224,0.010736958,0.01773936,0.1627687103814438
5072308218818985984,STRIPE82-0023,SPLUS.STRIPE82-0023.25362.griz,15.975,-0.4407,16.55,0.086,0.081,0.097,1.0,0,0,1,Er,0,0,4,DR4_3_STRIPE82-0023_0044558,15.975003914535039,-0.44074869332528865,16.67562,17.366444,16.287792,16.065474,18.140564,18.215641,18.730225,17.606533,18.247217,17.034182,16.557657,16.138378,0.01528586,0.023578577,0.014911529,0.022923235,2.7878957,0.14803363,0.37563694,0.10920555,0.18076143,0.054391917,0.017857287,0.034187622,0.17586147778509278
5072471312467755008,STRIPE82-0023,SPLUS.STRIPE82-0023.25393.griz,16.1216,-0.4407,16.81,0.034,0.02,0.078,1.0,0,0,1,Er,0,0,4,DR4_3_STRIPE82-0023_0044760,16.12163913224237,-0.4407304270846905,17.052097,17.731539,16.68022,16.555006,19.093437,19.75821,18.153147,18.231922,18.865992,17.830732,16.911358,16.452543,0.025703413,0.03927668,0.025485976,0.043162882,5.887833,0.74312687,0.26955006,0.23511094,0.3846873,0.13545574,0.029324785,0.054947216,0.17844707507546523
5072379658805182464,STRIPE82-0023,SPLUS.STRIPE82-0023.25510.griz,15.1729,-0.4445,15.51,0.042,0.038,0.057,1.0,0,1,0,Er,0,0,4,DR4_3_STRIPE82-0023_0044803,15.17288990451962,-0.4444869976596656,15.708673,16.484339,15.346873,15.108182,18.028229,17.699722,17.370546,17.219837,16.817806,16.112808,15.635543,15.155905,0.005713269,0.009430439,0.005713101,0.010105769,2.6377873,0.076958284,0.08975394,0.065081544,0.04183901,0.020386605,0.006908694,0.017333683,0.05926057577457019
5072306065152933888,STRIPE82-0023,SPLUS.STRIPE82-0023.26024.griz,15.8455,-0.4692,16.06,0.048,0.044,0.057,1.0,0,0,1,Ec,0,0,4,DR4_3_STRIPE82-0023_0029709,15.845463276803866,-0.46922161484246666,16.24272,17.060757,15.870065,15.621966,19.010284,18.489927,18.036215,17.89498,17.467947,16.723087,16.15038,15.654912,0.007882953,0.013458911,0.007691971,0.011237955,0.13078964,0.13672401,0.14284281,0.10256435,0.06424821,0.030241285,0.00946601,0.016375814,0.15339988673910204
5072300171010768896,STRIPE82-0023,SPLUS.STRIPE82-0023.26109.griz,15.5918,-0.5451,16.33,0.076,0.07,0.156,1.0,1,0,0,Ei,0,0,4,DR4_3_STRIPE82-0023_0026536,15.591763952097406,-0.5451186201993371,16.527092,17.300419,16.143856,15.888851,19.126272,18.681496,18.180506,18.113012,17.788406,16.918564,16.37397,15.952326,0.009491513,0.015855188,0.00918072,0.013420597,0.14469656,0.15816574,0.15815258,0.11964723,0.082087666,0.034304757,0.010822005,0.019738788,0.14605735012736573
5072282258363121664,STRIPE82-0023,SPLUS.STRIPE82-0023.26876.griz,16.0564,-0.5033,15.52,0.065,0.06,0.07,1.0,0,0,1,Ei,0,0,4,DR4_3_STRIPE82-0023_0028429,16.056415069603872,-0.5032638664063888,15.734124,16.59124,15.284758,15.038877,18.46323,17.98005,18.005098,18.00707,17.214615,16.176815,15.626983,15.051476,0.0064751008,0.011455885,0.005901242,0.008681085,0.105993,0.114034384,0.18504104,0.15120234,0.06729221,0.024113184,0.007589883,0.012289113,0.1409395184614687
5072282950855294976,STRIPE82-0023,SPLUS.STRIPE82-0023.27362.griz,15.9684,-0.5156,16.91,0.047,0.039,0.071,1.0,1,0,0,S,0,0,4,DR4_3_STRIPE82-0023_0027680,15.968431889794964,-0.5155726083999378,17.12748,17.849888,16.743145,16.508696,20.897594,19.17226,20.524685,18.794832,18.330307,17.516409,17.10427,16.641779,0.019440353,0.03099016,0.019010182,0.028941179,0.86204153,0.2962184,1.638699,0.2727157,0.16388409,0.07140772,0.02483025,0.04563387,0.1513360714646958
5072743369545875456,STRIPE82-0023,SPLUS.STRIPE82-0023.27828.griz,14.8155,-0.5284,16.72,0.202,0.178,0.214,1.0,0,0,1,Er,0,0,4,DR4_3_STRIPE82-0023_0027459,14.815533363310028,-0.5284535737872308,16.885141,18.046753,16.455833,16.159788,20.341625,99.0,19.913012,19.056494,19.123655,17.629484,16.730507,16.297537,0.01394434,0.03270977,0.013474951,0.018260367,0.44305217,99.0,0.8260482,0.31192154,0.29998934,0.06939171,0.01580469,0.029193515,0.22720439535210704
